timestamp,dx,dy,D,speed,radius,clicks,correct
1619606059366725000,11,5,0.222772,12.083,0.2,6,3
1619606059374903000,11,4,0.208832,11.7047,0.2,6,3
1619606059381782000,10,4,0.195966,10.7703,0.2,6,3
1619606059390854000,10,4,0.184009,10.7703,0.2,6,3
1619606059397953000,9,4,0.17152,9.84886,0.2,6,3
1619606059406513000,9,4,0.160473,9.84886,0.2,6,3
1619606059416039000,9,3,0.150317,9.48683,0.2,6,3
1619606059425110000,9,4,0.139851,9.84886,0.2,6,3
1619606059431496000,9,3,0.129149,9.48683,0.2,6,3
1619606059439926000,9,4,0.118717,9.84886,0.2,6,3
1619606059446847000,8,3,0.107734,8.544,0.2,6,3
1619606059456092000,8,3,0.0990778,8.544,0.2,6,3
1619606059463167000,8,3,0.0904362,8.544,0.2,6,3
1619606059470300000,7,3,0.0818107,7.61577,0.2,6,3
1619606059478436000,7,3,0.0740513,7.61577,0.2,6,3
1619606059488426000,6,2,0.0663023,6.32456,0.2,6,3
1619606059495340000,5,2,0.0600199,5.38516,0.2,6,3
1619606059503005000,5,2,0.055428,5.38516,0.2,6,3
1619606059511025000,4,2,0.0514601,4.47214,0.2,6,3
1619606059518045000,5,2,0.0477096,5.38516,0.2,6,3
1619606059526269000,4,3,0.0431262,5,0.2,6,3
1619606059536159000,5,3,0.0385457,5.83095,0.2,6,3
1619606059545902000,6,4,0.0333375,7.2111,0.2,6,3
1619606059551438000,6,4,0.0258402,7.2111,0.2,6,3
1619606059559582000,7,4,0.018344,8.06226,0.2,6,3
1619606059567310000,7,4,0.0100238,8.06226,0.2,6,3
1619606059575999000,7,4,0.00171016,8.06226,0.2,6,3
1619606059585000000,7,4,-0.00659623,8.06226,0.2,6,3
1619606059590441000,6,4,-0.0148943,7.2111,0.2,6,3
1619606059598365000,6,3,-0.0223748,6.7082,0.2,6,3
1619606059607032000,5,3,-0.0291916,5.83095,0.2,6,3
1619606059614956000,5,3,-0.0337282,5.83095,0.2,6,3
1619606059622591000,4,3,-0.0389291,5,0.2,6,3
1619606059631560000,3,2,-0.0434568,3.60555,0.2,6,3
1619606059641127000,2,2,-0.0463933,2.82843,0.2,6,3
1619606059647520000,1,1,-0.0478614,1.41421,0.2,6,3
1619606059663906000,1,2,-0.0493294,2.23607,0.2,6,3
1619606059678097000,1,2,-0.0499995,2.23607,0.2,6,3
1619606059693881000,0,1,-0.0514667,1,0.2,6,3
1619606059702384000,0,1,-0.0521319,1,0.2,6,3
1619606059710398000,1,3,-0.0527926,3.16228,0.2,6,3
1619606059718001000,1,1,-0.0549137,1.41421,0.2,6,3
1619606059727886000,1,2,-0.0549137,2.23607,0.2,6,3
1619606059735435000,1,2,-0.0570282,2.23607,0.2,6,3
1619606059743349000,1,2,-0.0584917,2.23607,0.2,6,3
1619606059750001000,1,2,-0.059136,2.23607,0.2,6,3
1619606059758063000,0,1,-0.0612367,1,0.2,6,3
1619606059767394000,1,3,-0.0612367,3.16228,0.2,6,3
1619606059773820000,0,1,-0.06333,1,0.2,6,3
1619606059783870000,0,1,-0.0639574,1,0.2,6,3
1619606059790075000,0,1,-0.0639574,1,0.2,6,3
1619606059797918000,1,2,-0.0645798,2.23607,0.2,6,3
1619606059814636000,1,2,-0.0651969,2.23607,0.2,6,3
1619606059830664000,0,1,-0.0672627,1,0.2,6,3
1619606059838818000,0,0,-0.0672627,0,0.2,6,3
1619606059966091000,0,0,0.350203,0,0.2,7,4
1619606060117692000,-4,-2,0.350203,4.47214,0.2,8,4
1619606060126182000,-4,-3,0.347455,5,0.2,8,4
1619606060135405000,-5,-4,0.343069,6.40312,0.2,8,4
1619606060142143000,-6,-5,0.337406,7.81025,0.2,8,4
1619606060152274000,-7,-5,0.330101,8.60233,0.2,8,4
1619606060159926000,-9,-7,0.320901,11.4018,0.2,8,4
1619606060166669000,-10,-7,0.307973,12.2066,0.2,8,4
1619606060174968000,-11,-7,0.29445,13.0384,0.2,8,4
1619606060182062000,-12,-7,0.279745,13.8924,0.2,8,4
1619606060191852000,-12,-7,0.26512,13.8924,0.2,8,4
1619606060200106000,-11,-7,0.249997,13.0384,0.2,8,4
1619606060205608000,-11,-6,0.235566,12.53,0.2,8,4
1619606060215184000,-10,-6,0.222677,11.6619,0.2,8,4
1619606060222022000,-10,-6,0.211325,11.6619,0.2,8,4
1619606060230216000,-10,-7,0.199179,12.2066,0.2,8,4
1619606060237675000,-10,-7,0.186224,12.2066,0.2,8,4
1619606060245518000,-10,-6,0.172856,11.6619,0.2,8,4
1619606060254443000,-10,-7,0.161024,12.2066,0.2,8,4
1619606060262983000,-10,-8,0.149319,12.8062,0.2,8,4
1619606060271318000,-10,-8,0.135873,12.8062,0.2,8,4
1619606060278102000,-10,-9,0.121168,13.4536,0.2,8,4
1619606060285818000,-10,-10,0.107028,14.1421,0.2,8,4
1619606060294479000,-10,-10,0.0907027,14.1421,0.2,8,4
1619606060302129000,-9,-10,0.0745451,13.4536,0.2,8,4
1619606060309537000,-10,-10,0.059908,14.1421,0.2,8,4
1619606060319057000,-9,-9,0.044166,12.7279,0.2,8,4
1619606060326475000,-9,-8,0.0302569,12.0416,0.2,8,4
1619606060334284000,-9,-8,0.0185881,12.0416,0.2,8,4
1619606060342078000,-9,-8,0.00721023,12.0416,0.2,8,4
1619606060350993000,-8,-8,-0.00382611,11.3137,0.2,8,4
1619606060358797000,-8,-7,-0.0143486,10.6301,0.2,8,4
1619606060366380000,-7,-7,-0.0224206,9.89949,0.2,8,4
1619606060374207000,-6,-7,-0.0310542,9.21954,0.2,8,4
1619606060382881000,-6,-6,-0.0383468,8.48528,0.2,8,4
1619606060390735000,-6,-6,-0.0443256,8.48528,0.2,8,4
1619606060397613000,-6,-5,-0.0500216,7.81025,0.2,8,4
1619606060406391000,-5,-5,-0.054372,7.07107,0.2,8,4
1619606060413936000,-5,-4,-0.0585949,6.40312,0.2,8,4
1619606060422119000,-5,-4,-0.0617834,6.40312,0.2,8,4
1619606060430961000,-4,-4,-0.06451,5.65685,0.2,8,4
1619606060438441000,-4,-3,-0.0666095,5,0.2,8,4
1619606060447826000,-4,-4,-0.0682479,5.65685,0.2,8,4
1619606060455637000,-3,-4,-0.0700818,5,0.2,8,4
1619606060465089000,-3,-4,-0.0717895,5,0.2,8,4
1619606060470496000,-3,-3,-0.0747495,4.24264,0.2,8,4
1619606060478650000,-2,-4,-0.0752745,4.47214,0.2,8,4
1619606060488097000,-3,-3,-0.0775839,4.24264,0.2,8,4
1619606060496919000,-2,-3,-0.0784326,3.60555,0.2,8,4
1619606060502365000,-3,-3,-0.0801139,4.24264,0.2,8,4
1619606060512102000,-2,-3,-0.0808167,3.60555,0.2,8,4
1619606060521382000,-2,-3,-0.0814503,3.60555,0.2,8,4
1619606060527769000,-1,-3,-0.0826033,3.16228,0.2,8,4
1619606060535732000,-2,-3,-0.0837211,3.60555,0.2,8,4
1619606060542965000,-1,-3,-0.0856406,3.16228,0.2,8,4
1619606060551038000,-2,-2,-0.0866734,2.82843,0.2,8,4
1619606060558685000,-2,-3,-0.0868527,3.60555,0.2,8,4
1619606060566516000,-1,-3,-0.0871543,3.16228,0.2,8,4
1619606060575419000,-2,-3,-0.0887454,3.60555,0.2,8,4
1619606060581873000,-1,-3,-0.0897059,3.16228,0.2,8,4
1619606060590163000,-1,-2,-0.0905192,2.23607,0.2,8,4
1619606060600929000,-1,-2,-0.0912715,2.23607,0.2,8,4
1619606060663922000,0,-1,-0.0912886,1,0.2,8,4
1619606060670793000,0,-1,-0.0920262,1,0.2,8,4
1619606060702126000,0,0,-0.0927587,0,0.2,8,4
1619606060798434000,0,0,0.664837,0,0.133,9,5
1619606060997904000,1,-2,0.664837,2.23607,0.133,10,5
1619606061007063000,3,-2,0.664266,3.60555,0.133,10,5
1619606061014970000,6,-2,0.661952,6.32456,0.133,10,5
1619606061023304000,9,-5,0.655585,10.2956,0.133,10,5
1619606061030415000,11,-7,0.643448,13.0384,0.133,10,5
1619606061039485000,14,-8,0.628425,16.1245,0.133,10,5
1619606061046300000,15,-9,0.604727,17.4929,0.133,10,5
1619606061054692000,16,-9,0.578146,18.3576,0.133,10,5
1619606061062505000,15,-7,0.548391,16.5529,0.133,10,5
1619606061070650000,16,-7,0.524432,17.4642,0.133,10,5
1619606061078089000,15,-6,0.497919,16.1555,0.133,10,5
1619606061085370000,15,-6,0.474612,16.1555,0.133,10,5
1619606061093436000,15,-7,0.451952,16.5529,0.133,10,5
1619606061101385000,14,-8,0.428123,16.1245,0.133,10,5
1619606061112730000,14,-10,0.405385,17.2047,0.133,10,5
1619606061117916000,14,-10,0.378506,17.2047,0.133,10,5
1619606061127331000,13,-10,0.351627,16.4012,0.133,10,5
1619606061133767000,12,-10,0.327881,15.6205,0.133,10,5
1619606061143896000,12,-9,0.306432,15,0.133,10,5
1619606061150559000,11,-9,0.286441,14.2127,0.133,10,5
1619606061157470000,10,-8,0.26852,12.8062,0.133,10,5
1619606061165529000,9,-7,0.253738,11.4018,0.133,10,5
1619606061174005000,8,-7,0.240413,10.6301,0.133,10,5
1619606061181898000,7,-6,0.22878,9.21954,0.133,10,5
1619606061191512000,7,-5,0.218366,8.60233,0.133,10,5
1619606061199924000,6,-5,0.209405,7.81025,0.133,10,5
1619606061205528000,6,-5,0.201292,7.81025,0.133,10,5
1619606061214472000,5,-4,0.193179,6.40312,0.133,10,5
1619606061222759000,4,-3,0.18652,5,0.133,10,5
1619606061231076000,4,-3,0.182766,5,0.133,10,5
1619606061237617000,4,-3,0.17841,5,0.133,10,5
1619606061246004000,5,-4,0.173805,6.40312,0.133,10,5
1619606061253365000,4,-4,0.167998,5.65685,0.133,10,5
1619606061261617000,5,-3,0.162194,5.83095,0.133,10,5
1619606061271086000,6,-4,0.157586,7.2111,0.133,10,5
1619606061279497000,6,-4,0.150077,7.2111,0.133,10,5
1619606061287216000,6,-3,0.142568,6.7082,0.133,10,5
1619606061295509000,6,-3,0.136511,6.7082,0.133,10,5
1619606061302487000,6,-3,0.130212,6.7082,0.133,10,5
1619606061310214000,5,-2,0.124159,5.38516,0.133,10,5
