timestamp,dx,dy,D,speed
1618417008321939000,-2,4,0.0385945,4.47214
1618417008329907000,-3,4,0.0340053,5
1618417008338048000,-2,4,0.0291971,4.47214
1618417008345870000,-2,3,0.0247072,3.60555
1618417008353824000,-2,4,0.0213297,4.47214
1618417008361959000,-2,3,0.0170604,3.60555
1618417008369812000,-2,3,0.0140891,3.60555
1618417008378221000,-2,3,0.0115829,3.60555
1618417008386261000,-1,2,0.00990124,2.23607
1618417008393988000,-1,3,0.00918927,3.16228
1618417008402189000,0,0,0.00868659,0
1618417008410159000,-1,3,1.42301,3.16228
1618417008418316000,0,1,1.42498,1
1618417008425844000,0,1,1.42531,1
1618417008434105000,0,1,1.42564,1
1618417008498157000,0,0,1.42597,0
1618417008530197000,3,-2,1.42597,3.60555
1618417008538305000,3,-2,1.42235,3.60555
1618417008545984000,5,-2,1.41873,5.38516
1618417008554530000,8,-3,1.41313,8.544
1618417008561971000,11,-5,1.40423,12.083
1618417008570309000,14,-5,1.39172,14.8661
1618417008578233000,17,-7,1.37623,18.3848
1618417008586038000,21,-7,1.35713,22.1359
1618417008594041000,25,-7,1.33407,25.9615
1618417008602131000,29,-6,1.30706,29.6142
1618417008610141000,32,-7,1.27642,32.7567
1618417008618033000,34,-7,1.24251,34.7131
1618417008626224000,36,-7,1.20663,36.6742
1618417008634185000,38,-8,1.1688,38.833
1618417008642080000,41,-10,1.12868,42.2019
1618417008649732000,42,-10,1.08495,43.1741
1618417008657904000,43,-11,1.04026,44.3847
1618417008665940000,43,-11,0.994249,44.3847
1618417008673919000,44,-13,0.948265,45.8803
1618417008681886000,44,-15,0.900595,46.4866
1618417008689842000,44,-14,0.852198,46.1736
1618417008697857000,44,-13,0.804176,45.8803
1618417008705825000,44,-12,0.75654,45.607
1618417008713866000,44,-11,0.709309,45.3542
1618417008721807000,44,-11,0.662509,45.3542
1618417008729804000,42,-10,0.615778,43.1741
1618417008737782000,39,-9,0.571457,40.025
1618417008745936000,35,-7,0.530523,35.6931
1618417008754033000,33,-7,0.494374,33.7343
1618417008761813000,29,-6,0.460256,29.6142
1618417008769835000,26,-5,0.430483,26.4764
1618417008777898000,24,-5,0.404114,24.5153
1618417008786136000,20,-4,0.379729,20.3961
1618417008793791000,18,-4,0.359618,18.4391
1618417008801888000,15,-5,0.341418,15.8114
1618417008809829000,12,-4,0.325407,12.6491
1618417008818069000,10,-4,0.312632,10.7703
1618417008826778000,9,-4,0.301631,9.84886
1618417008834815000,8,-4,0.291513,8.94427
