timestamp,dx,dy,D,speed,click
1618417243266597000,-23,-16,0.732926,28.0179,0
1618417243274497000,-24,-16,0.703756,28.8444,0
1618417243282301000,-26,-16,0.673712,30.5287,0
1618417243290336000,-29,-17,0.64192,33.6155,0
1618417243298322000,-30,-17,0.606942,34.4819,0
1618417243305935000,-31,-15,0.571098,34.4384,0
1618417243313961000,-31,-14,0.535555,34.0147,0
1618417243322045000,-31,-13,0.500648,33.6155,0
1618417243330320000,-31,-13,0.466423,33.6155,0
1618417243338043000,-31,-12,0.432325,33.2415,0
1618417243346198000,-30,-11,0.399023,31.9531,0
1618417243354257000,-29,-10,0.367433,30.6757,0
1618417243362099000,-28,-11,0.33764,30.0832,0
1618417243370313000,-26,-10,0.308324,27.8568,0
1618417243377989000,-25,-10,0.28165,26.9258,0
1618417243385902000,-23,-9,0.256186,24.6982,0
1618417243394067000,-21,-8,0.233444,22.4722,0
1618417243402083000,-19,-8,0.213456,20.6155,0
1618417243410110000,-16,-6,0.195359,17.088,0
1618417243417896000,-14,-6,0.18136,15.2315,0
1618417243425819000,-11,-5,0.168997,12.083,0
1618417243433821000,-10,-3,0.159444,10.4403,0
1618417243441961000,-8,-4,0.152655,8.94427,0
1618417243450240000,-6,-4,0.145988,7.2111,0
1618417243458061000,-6,-4,0.140183,7.2111,0
1618417243466123000,-5,-4,0.134548,6.40312,0
1618417243474535000,-4,-4,0.129317,5.65685,0
1618417243481963000,-4,-5,0.124412,6.40312,0
1618417243490626000,-4,-4,0.118568,5.65685,0
1618417243498065000,-3,-4,0.113848,5,0
1618417243506084000,-3,-4,0.109346,5,0
1618417243514287000,-2,-4,0.104909,4.47214,0
1618417243521984000,-2,-3,0.100606,3.60555,0
1618417243530211000,-2,-3,0.0973759,3.60555,0
1618417243538047000,-1,-3,0.0941853,3.16228,0
1618417243546024000,-2,-3,0.0910434,3.60555,0
1618417243553839000,-2,-3,0.0879192,3.60555,0
1618417243562077000,-1,-3,0.0848462,3.16228,0
1618417243570141000,-1,-3,0.0817702,3.16228,0
1618417243578065000,-1,-3,0.0787118,3.16228,0
1618417243586054000,-1,-3,0.0756733,3.16228,0
1618417243594035000,-1,-3,0.072657,3.16228,0
1618417243602055000,-1,-3,0.0696658,3.16228,0
1618417243610121000,0,-2,0.0667032,2,0
1618417243618058000,0,-3,0.0646413,3,0
1618417243626114000,0,-4,0.0615512,4,0
1618417243634114000,0,-4,0.0574369,4,0
1618417243642022000,0,-4,0.0533308,4,0
1618417243650189000,0,-4,0.0492348,4,0
1618417243657944000,0,-5,0.0451518,5,0
1618417243665997000,0,-5,0.0400722,5,0
1618417243674106000,0,-5,0.0350305,5,0
1618417243681991000,0,-4,0.0300456,4,0
1618417243690173000,0,-4,0.0261206,4,0
1618417243698051000,0,-3,0.0222835,3,0
1618417243706144000,0,-2,0.0194946,2,0
1618417243714185000,0,-1,0.017698,1,0
1618417243722047000,0,-1,0.0168244,1,0
1618417243730199000,0,0,0.015971,0,1
1618417243794136000,0,0,0.531782,0,0
1618417243826306000,-1,-2,0.531782,2.23607,0
1618417243834153000,0,-2,0.529841,2,0
1618417243841923000,-2,-5,0.528807,5.38516,0
1618417243850154000,-2,-5,0.524433,5.38516,0
1618417243858001000,-3,-7,0.520081,7.61577,0
1618417243866120000,-3,-9,0.513848,9.48683,0
1618417243874052000,-4,-10,0.506694,10.7703,0
1618417243882118000,-5,-12,0.498234,13,0
1618417243890270000,-6,-13,0.488042,14.3178,0
1618417243898174000,-6,-14,0.476635,15.2315,0
1618417243906208000,-8,-13,0.465015,15.2643,0
1618417243914107000,-9,-14,0.45211,16.6433,0
1618417243922306000,-9,-14,0.438057,16.6433,0
1618417243930306000,-10,-12,0.424247,15.6205,0
1618417243938073000,-12,-11,0.41036,16.2788,0
1618417243946218000,-13,-11,0.394968,17.0294,0
1618417243953950000,-15,-9,0.378708,17.4929,0
1618417243962205000,-15,-7,0.361124,16.5529,0
1618417243970175000,-16,-6,0.344135,17.088,0
1618417243978014000,-17,-4,0.326426,17.4642,0
1618417243986307000,-17,-4,0.30824,17.4642,0
1618417243994242000,-16,-4,0.290054,16.4924,0
1618417244002176000,-16,-3,0.272876,16.2788,0
1618417244010400000,-15,-3,0.255968,15.2971,0
1618417244018030000,-15,-3,0.240071,15.2971,0
1618417244025892000,-15,-3,0.224179,15.2971,0
1618417244033887000,-16,-5,0.208293,16.7631,0
1618417244041851000,-16,-5,0.190837,16.7631,0
1618417244050177000,-17,-6,0.173382,18.0278,0
1618417244058081000,-17,-5,0.154648,17.72,0
1618417244066052000,-17,-5,0.136194,17.72,0
1618417244074052000,-17,-5,0.117741,17.72,0
1618417244082066000,-16,-3,0.0992903,16.2788,0
1618417244090420000,-15,-3,0.0823828,15.2971,0
1618417244098285000,-13,-2,0.0664995,13.1529,0
1618417244105909000,-12,-1,0.0529529,12.0416,0
1618417244114182000,-9,0,0.0408705,9,0
1618417244122267000,-11,1,0.0324124,11.0454,0
1618417244130280000,-8,0,0.0237792,8,0
1618417244138411000,-8,0,0.0187891,8,0
1618417244146354000,-8,0,0.0167182,8,0
1618417244154210000,-7,0,0.0185704,7,0
1618417244162161000,-7,0,0.0227152,7,0
1618417244170136000,-6,-1,0.028168,6.08276,0
